StudentID,GPA,SleepHours,SocialMediaHours,ExerciseHours,StudyHours,PartTimeJob,Major,Year,Device
69,2.15,5,3,3,6,No,Business,Junior,Tablet
70,3.97,5,1,0,7,No,Arts,Freshman,Desktop
71,3.54,7,5,1,3,No,Business,Freshman,Desktop
72,2.4,4,6,0,5,No,Business,Junior,Laptop
73,2.01,4,3,0,5,No,Arts,Freshman,Tablet
74,3.63,6,7,1,1,No,Social Science,Senior,Phone
75,3.41,4,6,0,2,No,Arts,Junior,Tablet
76,3.46,7,6,0,3,Yes,Arts,Junior,Desktop
77,3.54,6,0,1,7,Yes,STEM,Junior,Laptop
78,2.15,6,0,2,1,Yes,STEM,Sophomore,Tablet
79,2.72,5,1,1,1,Yes,Arts,Junior,Phone
80,2.23,5,5,0,4,No,STEM,Junior,Desktop
81,3.73,4,5,3,2,No,Arts,Junior,Laptop
82,3.25,6,5,3,7,No,STEM,Sophomore,Tablet
83,2.66,5,4,1,2,Yes,Business,Freshman,Phone
84,2.13,7,3,3,3,Yes,STEM,Sophomore,Desktop
85,2.62,5,5,0,2,No,STEM,Senior,Phone
86,2.65,9,3,0,1,Yes,Business,Junior,Tablet
87,3.46,9,1,1,2,Yes,Arts,Senior,Desktop
88,3.28,5,6,0,2,No,STEM,Sophomore,Tablet
89,3.77,6,5,2,5,No,STEM,Freshman,Laptop
90,2.94,6,1,0,7,No,Business,Freshman,Tablet
91,2.24,8,5,1,7,No,Business,Junior,Laptop
92,3.43,9,0,2,1,No,Business,Freshman,Tablet
93,3.52,7,2,2,6,No,Social Science,Sophomore,Phone
94,3.12,6,1,3,2,No,Business,Sophomore,Phone
95,3.54,4,5,0,2,Yes,Arts,Freshman,Desktop
96,2.99,9,7,1,4,No,STEM,Junior,Phone
97,3.05,7,2,3,7,Yes,STEM,Junior,Phone
98,2.86,7,1,3,2,Yes,Social Science,Sophomore,Laptop
99,2.05,6,7,0,7,No,STEM,Freshman,Phone
100,2.22,7,7,0,2,No,STEM,Sophomore,Laptop
101,2.06,6,4,1,5,No,Arts,Sophomore,Laptop
102,3.27,5,7,3,1,No,STEM,Senior,Laptop
103,2.63,9,5,1,7,No,Arts,Sophomore,Tablet
104,3.02,8,4,3,3,No,Social Science,Junior,Laptop
105,3.82,5,0,3,1,No,Arts,Freshman,Tablet
106,2.5,9,5,3,4,Yes,Business,Freshman,Laptop
107,2.82,6,6,0,1,Yes,Business,Senior,Tablet
108,3.51,9,7,3,2,No,Social Science,Senior,Desktop
109,2.46,6,0,3,4,Yes,STEM,Junior,Desktop
110,2.15,5,2,3,1,No,Arts,Senior,Tablet
111,2.58,4,1,2,4,No,Business,Sophomore,Desktop
112,2.32,4,7,0,3,No,Arts,Sophomore,Phone
113,3.86,9,3,2,1,No,Business,Junior,Laptop
114,3.62,4,0,0,7,No,Arts,Freshman,Tablet
115,3.27,6,3,1,7,Yes,STEM,Junior,Desktop
116,3.74,7,7,2,6,Yes,Social Science,Senior,Desktop
117,3.61,6,3,1,2,Yes,STEM,Freshman,Phone
118,2.37,7,7,3,4,No,Arts,Freshman,Laptop
119,3.79,5,1,1,6,Yes,Business,Freshman,Phone
120,3.08,8,2,1,6,No,Business,Senior,Tablet
121,3.61,7,1,1,5,No,Social Science,Sophomore,Desktop
122,3.79,4,5,1,4,Yes,STEM,Sophomore,Desktop
123,2.64,6,0,0,6,Yes,STEM,Senior,Desktop
124,2.22,5,3,2,5,No,STEM,Senior,Phone
125,2.46,4,1,0,6,No,Business,Junior,Phone
126,2.85,5,7,0,2,No,Social Science,Junior,Laptop
127,3.64,8,1,0,3,No,Business,Sophomore,Tablet
128,3.72,6,1,1,5,No,STEM,Senior,Laptop
129,2.01,9,0,0,3,No,Arts,Junior,Laptop
130,3.02,6,2,2,4,No,Business,Senior,Desktop
131,2.83,8,6,0,2,No,Social Science,Senior,Phone
132,2.44,6,1,3,5,Yes,STEM,Sophomore,Tablet
133,2.24,9,0,1,4,No,Arts,Sophomore,Laptop
134,2.68,7,3,3,6,Yes,Business,Senior,Tablet
135,3.89,5,7,2,7,Yes,Arts,Freshman,Desktop
136,2.65,9,5,2,1,Yes,Arts,Freshman,Laptop
137,3.04,4,6,2,4,No,Social Science,Senior,Phone
138,3.41,8,4,2,3,Yes,Business,Sophomore,Laptop
139,2.73,7,6,0,2,Yes,Social Science,Freshman,Desktop
140,3.94,4,7,1,2,No,STEM,Sophomore,Laptop
141,3.92,4,6,2,4,No,Arts,Freshman,Desktop
142,2.5,8,7,3,6,No,Social Science,Senior,Laptop
143,2.99,7,0,2,1,No,Social Science,Junior,Tablet
144,2.6,4,4,1,3,No,STEM,Junior,Phone
145,2.57,4,1,3,4,No,Business,Sophomore,Desktop
146,2.07,7,1,3,4,Yes,Social Science,Sophomore,Tablet
147,3.22,6,6,3,7,No,Arts,Freshman,Desktop
148,3.01,4,0,0,2,No,Arts,Senior,Laptop
149,2.1,5,4,2,3,No,Arts,Freshman,Desktop
150,2.56,7,1,0,1,No,Arts,Senior,Desktop
151,3.82,4,3,3,2,No,Social Science,Senior,Phone
152,2.48,8,2,0,4,No,Arts,Sophomore,Tablet
153,2.29,9,2,0,2,Yes,Social Science,Junior,Laptop
154,2.98,5,1,0,2,No,Business,Junior,Phone
155,3.97,9,4,2,5,No,Arts,Sophomore,Desktop
156,2.48,9,5,3,2,No,Business,Junior,Phone
157,3.34,4,1,3,6,No,Social Science,Sophomore,Desktop
158,3.52,5,5,2,2,Yes,STEM,Freshman,Laptop
159,2.48,5,5,0,6,Yes,Business,Senior,Desktop
160,3.46,6,7,0,3,Yes,Arts,Junior,Phone
161,2.74,9,7,1,2,No,STEM,Junior,Phone
162,3.26,5,4,1,1,No,Business,Freshman,Desktop
163,3.27,6,5,1,6,Yes,Social Science,Freshman,Tablet
164,3.07,7,3,2,6,Yes,Social Science,Junior,Phone
165,2.18,6,4,3,4,No,Social Science,Junior,Tablet
166,3.67,8,1,1,3,Yes,Business,Sophomore,Tablet
167,2.64,4,6,3,2,No,Social Science,Sophomore,Tablet
168,2.37,7,3,3,7,Yes,Business,Junior,Tablet
169,2.08,7,0,3,1,No,Arts,Sophomore,Phone
170,3.18,8,2,2,4,Yes,Arts,Freshman,Phone
171,3.36,6,1,2,3,No,Business,Senior,Tablet
172,2.03,4,1,2,6,No,Business,Sophomore,Phone
173,3.02,6,1,2,1,Yes,STEM,Senior,Tablet
174,2.45,5,3,1,2,No,Social Science,Sophomore,Tablet
175,3.29,6,0,0,7,No,Arts,Junior,Tablet
176,2.35,7,6,0,5,No,Arts,Sophomore,Desktop
177,3.38,4,4,0,5,No,STEM,Senior,Laptop
178,2.77,6,7,1,3,Yes,Business,Senior,Phone
179,3.87,4,0,0,7,No,Business,Junior,Phone
180,2.28,4,3,1,1,No,STEM,Senior,Tablet
181,2.68,5,1,1,4,No,Social Science,Junior,Desktop
182,2.23,5,2,1,1,No,Business,Junior,Desktop
183,3.85,7,1,0,7,Yes,Business,Senior,Phone
184,3.75,8,4,3,6,No,Social Science,Freshman,Tablet
185,2.52,4,5,0,5,No,Social Science,Senior,Phone
186,3.32,8,2,0,3,Yes,STEM,Senior,Tablet
187,3.63,7,1,2,2,No,STEM,Sophomore,Tablet
188,3.11,4,6,1,1,No,STEM,Senior,Laptop
189,3.06,4,2,3,5,Yes,Business,Sophomore,Tablet
190,2.48,9,5,2,4,Yes,STEM,Sophomore,Laptop
191,2.19,8,7,3,3,No,Business,Senior,Phone
192,3.79,6,0,3,2,Yes,Arts,Junior,Phone
193,3.8,5,3,1,1,Yes,Social Science,Freshman,Desktop
194,3.27,6,7,0,4,No,Social Science,Senior,Laptop
195,2.68,8,1,1,2,Yes,Arts,Senior,Phone
196,2.7,5,4,1,6,No,STEM,Junior,Laptop
197,3.45,6,0,2,5,No,Business,Sophomore,Phone
198,3.79,9,7,1,6,No,Business,Junior,Laptop
199,3.77,5,1,0,5,No,Business,Junior,Laptop
200,3.56,4,0,3,4,No,Social Science,Sophomore,Tablet
201,3.28,6,7,1,6,Yes,STEM,Senior,Phone
202,2.17,5,4,3,5,No,Business,Junior,Desktop
203,2.32,9,1,1,3,No,Business,Junior,Tablet
204,3.8,5,5,3,4,Yes,Business,Senior,Desktop
205,3.21,5,5,1,5,No,Arts,Senior,Laptop
206,2.02,9,4,2,1,No,Business,Freshman,Tablet
207,2.2,6,2,3,5,No,Arts,Junior,Laptop
208,3.33,7,4,1,6,No,Business,Freshman,Phone
209,2.01,6,2,1,3,No,Business,Sophomore,Phone
210,2.32,8,1,2,2,No,Business,Senior,Desktop
211,3.1,9,7,2,2,No,Arts,Senior,Phone
212,3.38,6,2,2,5,Yes,Business,Freshman,Desktop
213,3.3,5,1,3,2,Yes,STEM,Junior,Laptop
214,2.45,9,1,3,5,No,Business,Sophomore,Tablet
215,3.42,4,6,2,3,No,Arts,Junior,Phone
216,2.47,6,3,0,2,Yes,Arts,Junior,Laptop
217,2.65,9,1,0,6,Yes,STEM,Freshman,Tablet
218,3.49,6,2,1,6,Yes,Social Science,Junior,Laptop
219,3.3,9,3,0,1,No,STEM,Freshman,Desktop
220,3.7,5,3,1,5,No,STEM,Senior,Laptop
221,3.32,4,1,3,2,No,Arts,Senior,Desktop
222,3.14,4,4,3,6,No,Business,Senior,Desktop
223,2.19,8,4,0,7,No,Business,Sophomore,Phone
224,2.74,9,5,3,3,No,Social Science,Sophomore,Desktop
225,2.53,6,3,2,3,Yes,Social Science,Junior,Desktop
226,2.49,4,1,2,7,Yes,Social Science,Freshman,Laptop
227,3.95,4,6,0,7,No,Social Science,Junior,Desktop
228,2.79,7,4,0,1,Yes,STEM,Senior,Desktop
229,3.78,7,6,1,3,No,STEM,Junior,Laptop
230,3.26,4,1,3,3,No,Business,Junior,Tablet
231,3.59,9,1,1,2,No,STEM,Junior,Phone
232,3.01,8,7,1,5,No,Business,Senior,Laptop
233,3.15,4,3,2,4,No,Business,Freshman,Desktop
234,2.99,5,7,2,3,Yes,Business,Junior,Laptop
235,2.39,6,6,2,3,No,Business,Senior,Tablet
236,3.44,8,7,2,4,No,Arts,Sophomore,Laptop
237,2.56,5,5,1,3,Yes,Business,Freshman,Laptop
238,2.05,8,3,2,2,Yes,STEM,Senior,Laptop
239,3.29,5,0,3,2,No,STEM,Junior,Laptop
240,2.35,6,7,2,4,No,STEM,Senior,Desktop
241,3.88,6,6,2,6,No,STEM,Freshman,Laptop
242,3.91,7,4,2,3,No,Arts,Junior,Tablet
243,3.83,9,4,0,6,No,Social Science,Sophomore,Laptop
244,2.74,5,4,3,3,Yes,Social Science,Sophomore,Laptop
245,2.03,7,2,3,5,No,Business,Sophomore,Desktop
246,3.86,5,1,1,3,No,Business,Senior,Desktop
247,2.86,7,3,1,2,Yes,STEM,Freshman,Laptop
248,3.93,6,4,2,1,No,STEM,Sophomore,Desktop
249,3.93,8,0,0,7,No,Social Science,Junior,Desktop
250,3.71,7,4,1,1,Yes,Social Science,Junior,Laptop
251,2.59,5,5,1,1,No,STEM,Junior,Desktop
252,2.77,5,1,2,1,No,Business,Senior,Phone
253,3.7,9,6,2,7,No,Arts,Freshman,Phone
254,2.63,6,1,1,6,Yes,Arts,Freshman,Phone
255,2.34,5,7,1,7,No,Social Science,Sophomore,Desktop
256,3.11,4,6,3,6,Yes,Social Science,Freshman,Phone
257,3.87,8,6,0,7,Yes,Social Science,Junior,Tablet
258,3.39,7,7,3,7,No,Arts,Junior,Phone
259,3.14,9,3,1,3,No,Arts,Senior,Tablet
260,2.19,8,7,3,6,No,STEM,Junior,Desktop
261,3.23,6,2,3,3,No,Business,Freshman,Phone
262,3.98,9,6,1,5,Yes,Social Science,Junior,Tablet
263,2.28,7,6,2,3,No,STEM,Sophomore,Desktop
264,3.04,7,7,1,1,No,Arts,Senior,Phone
265,3.75,4,3,2,4,No,STEM,Senior,Laptop
266,3.48,6,4,1,4,No,Arts,Freshman,Phone
267,3.39,9,5,1,2,No,Business,Junior,Phone
268,3.4,9,0,1,2,No,Arts,Junior,Phone
269,2.72,5,3,0,3,No,STEM,Freshman,Laptop
270,2.59,4,2,2,7,No,Business,Freshman,Tablet
271,3.62,4,3,0,7,No,Arts,Sophomore,Tablet
272,3.62,9,1,1,4,Yes,Social Science,Freshman,Laptop
273,3.73,9,4,3,1,Yes,Arts,Junior,Phone
274,3.83,8,4,0,6,No,Business,Sophomore,Phone
275,3.02,8,6,2,1,Yes,STEM,Senior,Phone
276,3.0,8,4,1,1,No,Business,Junior,Tablet
277,3.6,4,4,0,3,Yes,STEM,Senior,Tablet
278,3.3,5,7,3,3,Yes,Arts,Senior,Laptop
279,3.4,7,4,0,5,No,Arts,Senior,Desktop
280,3.59,8,4,2,1,No,Business,Junior,Laptop
281,3.78,5,0,0,7,No,Social Science,Senior,Tablet
282,2.68,6,2,3,7,No,Arts,Junior,Phone
283,2.75,8,6,3,1,No,Social Science,Senior,Phone
284,2.19,7,7,2,3,Yes,Social Science,Freshman,Phone
285,3.16,6,4,3,3,Yes,Business,Freshman,Phone
286,2.07,6,6,1,5,No,Arts,Junior,Desktop
287,2.93,7,2,3,5,No,Social Science,Senior,Laptop
288,3.09,8,7,1,2,No,Arts,Senior,Laptop
289,2.57,4,5,0,4,No,STEM,Senior,Tablet
290,3.18,7,4,1,1,Yes,Social Science,Freshman,Laptop
291,2.06,7,6,1,7,Yes,Business,Senior,Desktop
292,2.07,7,3,0,1,No,Business,Senior,Desktop
293,3.65,6,7,3,5,No,Social Science,Junior,Desktop
294,2.72,5,7,1,5,Yes,Arts,Senior,Phone
295,2.25,4,6,3,2,Yes,STEM,Freshman,Tablet
296,3.04,8,4,0,4,Yes,STEM,Senior,Desktop
297,3.54,8,1,2,2,No,Business,Freshman,Laptop
298,2.43,5,0,3,7,No,Business,Freshman,Laptop
299,3.25,7,3,3,4,No,Arts,Sophomore,Laptop
300,2.17,4,3,2,6,No,Business,Freshman,Desktop
301,2.1,8,1,2,1,No,Arts,Sophomore,Desktop
302,3.06,9,4,0,2,No,Social Science,Sophomore,Laptop
303,3.08,8,7,3,5,Yes,STEM,Senior,Desktop
304,3.27,7,7,3,2,Yes,Social Science,Sophomore,Laptop
305,3.45,9,0,0,6,Yes,Business,Junior,Phone
306,3.95,5,3,3,2,No,STEM,Freshman,Desktop
307,3.03,4,0,1,1,No,STEM,Junior,Phone
308,2.65,5,3,1,6,No,Social Science,Sophomore,Phone
309,3.59,5,4,1,5,No,Arts,Senior,Desktop
310,2.54,4,5,3,5,Yes,STEM,Freshman,Laptop
311,2.88,4,3,1,3,No,Arts,Junior,Tablet
312,2.16,8,5,1,6,No,Social Science,Senior,Phone
313,2.05,8,3,0,3,No,Social Science,Sophomore,Desktop
314,3.93,4,7,0,3,Yes,Arts,Senior,Phone
315,3.67,9,2,2,1,No,Social Science,Junior,Laptop
316,3.39,6,4,2,2,No,STEM,Senior,Desktop
317,2.82,8,1,2,5,No,Social Science,Junior,Tablet
318,2.35,6,5,2,5,No,Social Science,Senior,Desktop
319,2.31,9,1,0,2,No,STEM,Freshman,Phone
320,2.5,4,4,0,5,Yes,Arts,Senior,Desktop
321,3.1,9,6,0,2,Yes,Social Science,Freshman,Desktop
322,3.43,8,1,1,6,Yes,Arts,Junior,Phone
323,3.32,5,4,1,1,Yes,STEM,Freshman,Tablet
324,2.56,4,7,2,1,No,Arts,Senior,Laptop
325,3.91,7,1,1,7,No,Arts,Freshman,Desktop
326,3.48,6,5,3,1,No,Business,Junior,Tablet
327,3.11,9,2,0,2,Yes,Business,Senior,Laptop
328,3.22,4,1,2,7,No,Social Science,Freshman,Phone
329,2.84,9,5,2,2,Yes,Business,Freshman,Tablet
330,2.5,4,3,3,4,Yes,Business,Sophomore,Tablet
331,2.71,8,4,1,7,No,Business,Freshman,Desktop
332,3.52,8,0,2,5,No,Arts,Sophomore,Phone
333,2.03,8,6,1,5,No,Arts,Junior,Desktop
334,2.23,9,7,1,4,Yes,Business,Sophomore,Phone
335,2.09,7,0,3,4,No,STEM,Junior,Laptop
336,2.08,8,7,2,1,Yes,Business,Freshman,Desktop
337,3.71,4,4,1,4,Yes,STEM,Freshman,Phone
338,3.41,8,7,1,2,No,Arts,Sophomore,Phone
339,2.95,5,2,3,3,Yes,STEM,Junior,Tablet
340,2.2,8,1,3,2,Yes,Arts,Freshman,Desktop
341,2.98,9,2,1,7,No,STEM,Sophomore,Desktop
342,2.95,7,0,3,4,No,Arts,Sophomore,Laptop
343,2.35,5,6,1,5,No,Arts,Sophomore,Phone
344,2.87,9,5,2,2,No,Business,Freshman,Tablet
345,2.8,9,6,0,5,Yes,Social Science,Junior,Phone
346,3.23,9,4,3,2,Yes,Social Science,Freshman,Phone
347,3.27,4,4,0,5,Yes,Arts,Senior,Phone
348,2.09,9,2,1,6,No,Business,Senior,Desktop
349,2.75,4,5,1,2,No,Social Science,Freshman,Phone
350,3.25,9,2,1,7,No,Social Science,Junior,Laptop
351,3.01,6,1,0,5,No,Business,Sophomore,Tablet
352,3.71,5,3,1,3,Yes,Business,Senior,Tablet
353,3.32,6,5,3,7,No,Social Science,Senior,Phone
354,2.33,9,3,2,1,Yes,Social Science,Freshman,Tablet
355,2.14,5,6,2,2,No,STEM,Senior,Phone
356,3.28,5,1,3,3,No,STEM,Senior,Desktop
357,2.05,7,7,2,1,No,Arts,Sophomore,Tablet
358,3.17,6,7,0,2,No,Social Science,Sophomore,Desktop
359,3.88,7,3,1,3,No,Business,Junior,Desktop
360,3.15,5,0,1,3,Yes,Business,Senior,Laptop
361,2.78,4,6,1,7,Yes,Social Science,Junior,Laptop
362,3.29,5,3,0,6,No,Arts,Junior,Tablet
363,2.92,7,1,0,3,Yes,Business,Sophomore,Phone
364,3.09,6,3,0,6,No,Social Science,Sophomore,Phone
365,3.88,9,4,3,4,No,Social Science,Freshman,Phone
366,2.77,9,2,0,7,No,Arts,Sophomore,Phone
367,3.92,6,0,2,5,No,Social Science,Junior,Laptop
368,3.81,9,4,3,7,Yes,Business,Senior,Phone
369,2.39,9,4,3,1,No,STEM,Junior,Phone
370,2.14,7,1,3,5,No,Arts,Junior,Desktop
371,2.2,6,2,0,5,No,Social Science,Junior,Phone
372,2.04,8,2,3,6,Yes,Arts,Sophomore,Phone
373,2.19,4,5,0,5,No,Social Science,Junior,Laptop
374,3.37,4,6,0,3,Yes,STEM,Freshman,Tablet
375,2.14,9,0,3,6,No,Arts,Senior,Desktop
376,2.64,4,6,1,5,Yes,Social Science,Sophomore,Desktop
377,3.69,6,1,1,6,No,STEM,Junior,Tablet
378,2.05,6,0,3,4,No,Business,Freshman,Desktop
379,3.63,5,5,1,6,Yes,Social Science,Senior,Phone
380,2.56,5,3,2,2,Yes,STEM,Junior,Phone
381,2.24,4,4,2,3,No,STEM,Senior,Tablet
382,3.39,8,0,0,1,Yes,Arts,Sophomore,Laptop
383,3.26,5,6,1,2,No,Social Science,Sophomore,Laptop
384,3.75,5,4,2,2,No,Business,Freshman,Desktop
385,3.47,6,1,3,2,No,Social Science,Sophomore,Laptop
386,3.61,8,6,1,5,No,STEM,Freshman,Laptop
387,2.56,9,3,2,6,Yes,Business,Junior,Laptop
388,2.35,4,1,2,6,Yes,STEM,Senior,Laptop
389,3.5,5,7,3,7,Yes,Arts,Sophomore,Laptop
390,3.61,8,3,0,5,No,Social Science,Senior,Laptop
391,3.98,8,3,3,3,No,STEM,Senior,Laptop
392,2.83,4,4,0,5,Yes,STEM,Junior,Desktop
393,2.74,8,1,2,5,Yes,Social Science,Junior,Phone
394,3.55,8,1,0,5,No,Business,Sophomore,Laptop
395,2.68,8,0,2,3,No,STEM,Junior,Phone
396,3.86,5,6,2,7,No,Social Science,Senior,Tablet
397,3.72,4,7,1,3,No,Arts,Freshman,Phone
398,2.86,8,1,0,4,No,Arts,Freshman,Tablet
399,3.5,8,0,0,7,Yes,Social Science,Freshman,Desktop
400,3.51,5,7,0,4,No,STEM,Sophomore,Phone
401,2.21,4,2,3,4,No,Social Science,Junior,Tablet
402,3.81,6,2,1,4,No,Social Science,Junior,Phone
403,3.01,5,7,1,6,No,STEM,Junior,Desktop
404,3.65,4,2,1,2,Yes,Business,Junior,Phone
405,2.64,8,5,3,2,Yes,Business,Senior,Tablet
406,3.79,4,1,0,4,No,Arts,Freshman,Laptop
407,2.78,4,5,0,4,Yes,Business,Senior,Laptop
408,2.02,9,6,0,1,No,Social Science,Sophomore,Laptop
409,3.81,4,1,1,2,No,STEM,Freshman,Desktop
410,2.18,6,0,1,1,No,Arts,Freshman,Laptop
411,2.64,4,5,2,7,No,Business,Senior,Desktop
412,3.9,6,5,3,1,No,Social Science,Sophomore,Laptop
413,3.9,8,6,3,5,Yes,Arts,Sophomore,Desktop
414,3.15,6,5,1,6,No,STEM,Freshman,Desktop
415,3.26,8,3,2,7,No,Business,Junior,Phone
416,2.9,8,0,0,3,No,Social Science,Sophomore,Laptop
417,2.59,6,2,1,2,No,STEM,Senior,Phone
418,2.66,5,0,3,4,No,Social Science,Sophomore,Tablet
419,3.35,7,3,3,7,Yes,Social Science,Freshman,Laptop
420,3.5,4,6,3,4,Yes,Social Science,Junior,Laptop
421,3.58,9,6,0,3,No,STEM,Sophomore,Laptop
422,3.58,7,1,3,7,No,Arts,Freshman,Laptop
423,2.18,4,0,0,2,No,Social Science,Sophomore,Phone
424,2.99,4,7,0,7,No,Arts,Junior,Phone
425,2.12,8,7,0,4,No,Arts,Senior,Desktop
426,3.1,4,6,1,4,No,Business,Freshman,Phone
427,2.88,9,5,0,5,No,Business,Freshman,Desktop
428,3.78,4,6,2,1,No,Arts,Junior,Tablet
429,2.7,6,6,3,7,No,Business,Freshman,Phone
430,2.23,7,6,1,4,No,Business,Junior,Desktop
431,2.29,6,6,3,6,Yes,Arts,Freshman,Laptop
432,3.52,9,7,0,2,No,STEM,Junior,Tablet
433,3.24,4,7,1,6,Yes,Business,Sophomore,Desktop
434,2.2,9,2,2,3,Yes,Business,Sophomore,Tablet
435,2.17,8,2,0,7,Yes,STEM,Sophomore,Laptop
436,3.4,6,1,3,5,Yes,STEM,Freshman,Laptop
437,2.15,6,6,2,2,No,STEM,Junior,Desktop
438,3.64,5,7,0,5,Yes,Arts,Junior,Desktop
439,3.41,4,0,2,1,Yes,STEM,Senior,Laptop
440,2.16,8,3,0,4,No,Arts,Sophomore,Desktop
441,2.17,6,1,1,2,No,Social Science,Senior,Laptop
442,3.97,6,7,0,3,Yes,Social Science,Sophomore,Phone
443,2.75,8,0,1,7,No,STEM,Senior,Desktop
444,2.74,9,6,0,1,No,STEM,Sophomore,Tablet
445,3.63,9,4,0,1,No,Social Science,Junior,Laptop
446,3.89,4,6,3,5,No,Arts,Sophomore,Phone
447,3.97,5,2,2,1,Yes,Arts,Freshman,Desktop
448,3.51,6,3,2,2,No,STEM,Sophomore,Laptop
449,2.75,5,7,2,5,No,STEM,Sophomore,Phone
450,2.17,9,7,0,1,Yes,STEM,Junior,Desktop
451,3.55,9,5,0,7,No,Social Science,Freshman,Laptop
452,3.12,7,3,0,3,No,Business,Junior,Laptop
453,2.85,4,5,1,7,No,STEM,Senior,Laptop
454,3.81,7,3,1,6,No,Arts,Senior,Desktop
455,2.22,7,2,3,2,No,Business,Freshman,Phone
456,2.99,7,5,0,3,No,Arts,Senior,Laptop
457,2.02,4,0,2,3,No,Business,Freshman,Phone
458,2.94,4,5,2,5,No,Social Science,Sophomore,Phone
459,2.11,8,1,3,4,No,Business,Senior,Tablet
460,2.24,5,0,2,5,No,Arts,Sophomore,Phone
461,2.24,5,1,3,2,No,Business,Junior,Phone
